,wisdom,eg
194,고래 싸움에 새우 등 터진다,고래 싸움에 새우 등 터지듯 한국의 국익이 손상되는 사태는 막아야 한다.
195,고래 싸움에 새우 등 터진다,대기업 아웃도어 업체들 간 '고래 싸움'에 식당들의 '새우 등'이 터지게 됐다.
196,고래 싸움에 새우 등 터진다,자칫하다간 고래 싸움에 새우 등 터지는 상황이 될 수도 있는 것이다.
197,고래 싸움에 새우 등 터진다,그러자 교육과학기술부가 조례의 위법성을 이유로 대법원에 조례 무효 확인 소송·조례 집행 정지 가처분을 제기하는 등 법적 대응에 나서면서 학교는 난데없이 고래 싸움에 새우 등 터지는 어이없는 상황에 처하게 됐다.
198,고래 싸움에 새우 등 터진다,그 전날 은 대국들 패권경쟁으로 제주도가 고래 싸움에 새우 등 터지는 꼴이 됐다는 얘기를 크게 실었다.
199,고래 싸움에 새우 등 터진다,이제는 한국이 고래 싸움에 등 터지는 새우 같은 나라가 아니다.
200,고래 싸움에 새우 등 터진다,"포스코의 한 관계자는 ""삼성그룹이 먼저 컨소시엄을 제안했는데, 고래 싸움에 새우 등 터진 꼴이 됐다""고 말했다."
201,고래 싸움에 새우 등 터진다,"금융권 관계자는 """"강 회장은 우리금융 인수에 적극적인 반면, 이 회장은 극력 반대하고 있어 금융위가 고래 싸움에 새우 등 터지는 격으로 이러지도 저러지도 못하고 눈치만 본다""""고 말했다."
202,고래 싸움에 새우 등 터진다,결국 '고래 싸움에 새우 등 터진다'는 말처럼 남은 것은 그 지역 몫이 된다.
203,고래 싸움에 새우 등 터진다,신흥국들 화폐가 몇달 만에 10% 안팎의 절상을 기록해 고래 싸움에 새우 등 터진다는 불만도 나왔다.
204,고래 싸움에 새우 등 터진다,고래 싸움에 새우 등이 '터진' 것이 아니라 '펴진' 셈이다.
205,고래 싸움에 새우 등 터진다,자칫 고래 싸움에 새우 등 터지는 격이 될 수 있다.
206,고래 싸움에 새우 등 터진다,국제 사회는 이제 대한민국을 주변 강대국들의 고래 싸움에 등 터지는 새우가 아니라 디지털 기술로 무장하고 국력이 부상(浮上)하는 신흥 강국으로 보고 있다.
207,고래 싸움에 새우 등 터진다,한국으로서는 '고래 싸움에 새우 등 터지는' 처지가 될 수 있다.
208,고래 싸움에 새우 등 터진다,"지금까지 남북의 싸늘한 대치 속에 동해안 최북단 고성군은 고래 싸움에 새우 등 터진 지 오래되었고, 터진 등에 욕창까지 생기는 고달픔이 계속되고 있다."
209,고래 싸움에 새우 등 터진다,'고래싸움에 새우 등 터지는 격이 됐다.'
210,고래 싸움에 새우 등 터진다,얼마 전 나는 울산에 가서 전부터 인사가 있는 J사장을 만나 그로부터 고래 싸움에 새우 등 터지는 이야기의 다음과 같은 새 버전 하나를 들었다.
211,고래 싸움에 새우 등 터진다,"서울 종로 C 노래방의 주인 김모씨는 ""최신곡을 찾는 팬들이 많지만 이유를 설명하기가 어렵고 영업 손실도 적지 않다""며 ""마치 고래 싸움에 새우 등 터지는 격""이라고 말했다."
212,고래 싸움에 새우 등 터진다,"두 사람(또는 두 진영)은 집권하면 모든 정책결정과 시행에서 충돌하게 될 것이 뻔하고, 서로 더 많은 자리와 권력을 쟁취하려고 사투(死鬪)를 하게 될 것이다.따라서 그들의 집권기간에 내정과 외교의 모든 정책이 우왕좌왕하고 끊임없는 세 불리기와 굳히기의 다툼이 계속되어서 가련한 국민은 '고래 싸움에 등 터지는 새우'가 될 수밖에 없다."
213,고래 싸움에 새우 등 터진다,그야말로 고래 싸움에 새우 등 터지는 격이다.
214,고래 싸움에 새우 등 터진다,대기업에서 노사 갈등으로 파업을 하면 애꿎은 하청 업체만 피해를 보는 상황
215,고래 싸움에 새우 등 터진다,고래 싸움에 새우 등 터지는 격으로 통상임금 논란이 계속되면서 많은 기업이 사회공헌활동의 일환으로 확대 구매해온 온누리상품권 규모를 대폭 줄이고 있다.
216,고래 싸움에 새우 등 터진다,"이런 점에서 우리가 너무 민족주의에 편승한 감정론에 휩싸여 흥분한다고 문제가 해결되는 것도 아니고, 자칫 '고래 싸움에 새우 등 터지는 꼴'이 될 수 있다는 걸 냉정하게 인식하고 대처할 필요가 있다."
217,고래 싸움에 새우 등 터진다,코믹영화 (출품자 김매일)는 막장 드라마와 무협영화를 결합한 독특한 형식에 '고래 싸움에 새우 등 터지는' 평범한 사람들의 좌절을 재미있게 그렸다.
218,고래 싸움에 새우 등 터진다,그 속사정이야 자세히 알 수는 없지만 우리는 고래 싸움에 새우 등 터지는 상황이다.
219,고래 싸움에 새우 등 터진다,고래 싸움에도 새우 등은 터지지 않았다.
220,고래 싸움에 새우 등 터진다,대륙과 해양세력의 침탈로 인해 고래 싸움에 새우 등 터질 수 밖에 없다는 운명적 고정관념에 젖어왔다.
221,고래 싸움에 새우 등 터진다,"회령 주민 김호철(35·가명)씨는 전쟁설에 대해 ""고래 싸움에 새우 등 터진다는데 우리만 공연히 피해를 본다""며 ""진짜 싸우려면 소리치지 않고 조용히 한다."
222,고래 싸움에 새우 등 터진다,'고래 싸움에 새우 등 터진다'는 한국 속담은 열강들이 한반도를 통제하려고 반복적으로 전쟁을 일으켰음을 강조하는 말이다.
223,고래 싸움에 새우 등 터진다,"나참, 고래 싸움에 새우 등 터진단 말이 있지 않습니까?"
224,고래 싸움에 새우 등 터진다,"한 기업 홍보실 관계자는 이번 사건에 대한 질문에 ""고래 싸움에 새우 등 터질 판이다."
225,고래 싸움에 새우 등 터진다,고래 싸움에 등 터지는 새우. 이게 한국의 서글픈 자화상이었다.
226,고래 싸움에 새우 등 터진다,미·중 고래 싸움에 새우 등 터질라
227,고래 싸움에 새우 등 터진다,"고래 싸움에 새우 등 터지는 꼴이라, 큰 판을 주도할 수 없는 나라들로서는 근심이 깊어지고 있다."
228,고래 싸움에 새우 등 터진다,고래 싸움에 새우 등 터지는 격으로 우리 경제도 장기불황의 늪에 빠져들고 있다.
229,고래 싸움에 새우 등 터진다,"중동1구역 주민 A씨는 ""성남시와 LH가 벌이는 고래 싸움에 새우(재개발 지역 주민)등 터지는 꼴""이라며 ""특히 이 지역은 이재명 시장 지지자가 많은 곳인 데다, 판교신도시 사업으로 두 기관이 충돌한 뒤 LH가 갑자기 사업 중단을 선언한 것도 이상하다""고 말했다."
230,고래 싸움에 새우 등 터진다,이처럼 대형업체들의 경쟁이 치열해 지면서 지역 주택업체들은 고래 싸움에 등 터지는 새우가 됐다.
231,고래 싸움에 새우 등 터진다,고래싸움에 등 터지는 새우만 늘어날 뿐이다.
232,고래 싸움에 새우 등 터진다,문제는 고래 싸움에 새우 등 터진다고 가장 많은 시청자를 확보한 공중파가 중계를 하지 않으니 피해를 보는 쪽은 양측이 아니라 팬이란 점. 솔직히 누가 잘했고 잘못했는지는 중요하지 않고 관심도 없다.
233,고래 싸움에 새우 등 터진다,'고래싸움에 새우 등 터진다'고 아직 자신도 제대로 가누지 못하는 아이들이 뜨거운 국물과 식판을 들고 우왕좌왕하고 있다.
234,고래 싸움에 새우 등 터진다,"이것이 한국의 입장이라면, 이는 우리 스스로 강대국 사이에 끼어들어 '장기판의 졸(卒)'이나 '고래싸움에 등 터지는 새우'의 처지를 자초하는 것이나 다를 바 없다."
235,고래 싸움에 새우 등 터진다,또 이 지역의 안보질서가 흔들리고 강대국 사이에 긴장이 고조되면 우리나라는 또다시 고래 싸움에 등 터지는 새우로 전락할 가능성도 배제하지 못한다.
236,고래 싸움에 새우 등 터진다,"불쌍한 우리 아이들, 고래싸움에 등 터지는 새우로 만들어서야 되겠는가."
237,고래 싸움에 새우 등 터진다,매장량 2조m³의 이 가스전을 둘러싸고 중국 일본 러시아 3국간에 이해가 얽히고설키면서 한국으로서는 '고래 싸움에 새우 등 터지는' 상황에 직면해 있는 것이다.
238,고래 싸움에 새우 등 터진다,"이 국력을 가지고 왜 자꾸 남에게 신세질 생각만 하느냐""며 ""고래 싸움에 등 터지는 새우가 아니라 큰 고래와 작은 고래가 함께 노는 동해의 고래, 이것이 우리 한국의 목표""라고 강조했다."
239,고래 싸움에 새우 등 터진다,"""사람들은 한국이 고래 싸움에 등 터지는 새우라고 말하지만 그렇지 않다."
240,고래 싸움에 새우 등 터진다,"그러면 한국의 전략적 선택은 상당히 어려워지고, 정말 고래 싸움에 새우 등 터질 가능성이 높아집니다."
241,고래 싸움에 새우 등 터진다,한국은 고래 싸움에 새우 등 터지는 상황에서의 새우가 이제는 아니다.
242,고래 싸움에 새우 등 터진다,"고래싸움에 새우 등 터진다는 격으로 정치인들의 이런 모습을 지켜보는 국민은, 국민 노릇하기가 참 힘들었다."
243,고래 싸움에 새우 등 터진다,"""같이 엮인 게임 규제안 때문에 부처 간 고래 싸움이 일어났고 새우만 등 터지고 있죠."""
244,고래 싸움에 새우 등 터진다,◆속으로 골병드는 하나로통신=올해 3월부터 시작된 대주주들 간 이전투구가 계속되는 동안 하나로통신은 '고래싸움에 등 터진 새우' 신세가 됐다.
245,고래 싸움에 새우 등 터진다,노동 귀족들이 무대 위에서 '더 달라'는 구호를 외치는 사이 아무런 대응책을 갖지 못한 중소기업과 이에 속한 식솔들은 '고래싸움에 새우 등 터지는' 현장을 목도하며 내일에 대한 희망을 잃고 있는 것이다.
246,고래 싸움에 새우 등 터진다,'고래 싸움에 새우 등 터진다'는 말은 이럴 때 쓰는 말인가?
247,고래 싸움에 새우 등 터진다,"어느 교수는 ""노무현과 정몽준의 '위장결혼'이 집권으로 이어질 경우를 생각하면 너무 아찔""하다면서 ""가련한 국민은 '고래 싸움에 등 터지는 새우'가 될 수밖에 없다""고 주장한다."
248,고래 싸움에 새우 등 터진다,기획·제작자는 늘 고래 싸움에 새우 등 터지듯 예술가들의 눈치를 살피며 뒤치다꺼리나 해주던 '하찮은' 존재라는 자괴감이 그것이다.
249,고래 싸움에 새우 등 터진다,"임 전 원장은 1999년 5월 처음 통일부 장관이 됐을 때부터 기자간담회 등을 통해 ""한국도 이제 고래 싸움에 등 터지는 새우가 아니라 돌고래처럼 자기를 지킬 힘과 명민함, 기동성, 누구나 좋아하는 친밀함을 가진 나라가 돼야 하지 않겠느냐""는 지론을 자주 폈다."
250,고래 싸움에 새우 등 터진다,"야당 대표가 중앙선관위를 '항의방문'한 것은 사상 처음 있는 일. 선관위 직원들은 ""고래 싸움에 새우 등 터지게 됐다""며 곤혹스러워했다."
251,고래 싸움에 새우 등 터진다,우리 속담에 '고래 싸움에 새우 등 터진다'는 말이 있다.
252,고래 싸움에 새우 등 터진다,○고래 싸움에 새우 등 터진다
253,고래 싸움에 새우 등 터진다,방송사들만 꼼짝없이 고래 싸움에 새우 등 터지는 격이다.
254,고래 싸움에 새우 등 터진다,제3자인 우리로선 고래 싸움에 새우 등 터질까 불안할 정도다.
255,고래 싸움에 새우 등 터진다,"'천릿길도 한 걸음부터"" ""고래싸움에 새우 등 터진다"""
256,고래 싸움에 새우 등 터진다,"한국은 고래 싸움에서 새우 등이 터지지 않으려면, 안테나를 더욱 높이 세우고 세 마리의 고래가 벌이는 밀고 당기기를 면밀히 관찰해야 한다."
257,고래 싸움에 새우 등 터진다,"한반도의 미래를 주도해 나갈 주인의식을 갖고 전략과 전술을 준비하면서 주변국과의 관계를 다져나갈 생각은 안 하고, 고래싸움에 등 터지는 새우라는 막연한 강대국 권력정치론의 함정에 빠져 우리 문제에 손님처럼 임하고 있는 것 아닌가 하는 생각도 들었다."
258,고래 싸움에 새우 등 터진다,이는 새우 싸움에 고래 등 터진 격이다.
259,고래 싸움에 새우 등 터진다,"한편으로는 세계 경제력 12위를 자랑하면서도 다른 한편으로는 고래싸움에 등 터지는 새우라는 피해의식에 빠져 감성적으로 대응하거나, 명분과 이념에 치우친 외교적 선택이 복잡한 게임 속에서 무슨 결과를 초래할지도 모른 채 표류하는 일이 없도록 하기 위해서 그렇다."
260,고래 싸움에 새우 등 터진다,"통신업계 관계자는 ""이번에도 '고래 싸움에 새우 등 터지는 꼴'""이라며 ""총선 뒤 새 국회에서 IPTV를 원점에서 다시 논의하면 서비스는 그만큼 더 늦어진다""고 허탈해 했다."
261,고래 싸움에 새우 등 터진다,이 과정에서 신흥국들은 '고래 싸움에 등 터진 새우' 신세가 됐다.
262,고래 싸움에 새우 등 터진다,한국인 스스로 자주 말하듯 '고래 싸움에 새우 등 터지는 격'으로 혹시 대국의 주고받기 희생물이 되지 않을까 항상 우려하게 됐다.
263,고래 싸움에 새우 등 터진다,자원이 부족한 한국이 고래 싸움에 새우 등 터지는 꼴이 되지나 않을지 근심이 크다.
264,고래 싸움에 새우 등 터진다,"과천 관가의 한 간부는 ""올 한 해는 고래 싸움에 등 터지는 새우 신세를 면하기 어렵겠다""고 말했다."
265,고래 싸움에 새우 등 터진다,"고래 싸움에 새우 등 터진다고, 강경 대치 국면 속에서 숨 못 쉬고 있는 민생법안을 하나, 둘씩 꺼내 합의를 해나가 보라."
266,고래 싸움에 새우 등 터진다,고래 싸움에 새우 등 터질 걱정인 셈이다.
267,고래 싸움에 새우 등 터진다,◆ 고래 싸움에 새우 등 터질라=강 대표의 발언은 박 전 대표와 이 전 시장을 겨냥했다는 분석이 많다.
268,고래 싸움에 새우 등 터진다,한반도를 고래싸움에 등 터지는 새우에 비유하기도 하는데 새우는 고래싸움에 즉시 죽어 버리지만 개미는 코끼리들에게 둘러싸여서도 살아날 전략을 생각해 볼 수 있는 여유가 있어 좋다.
269,고래 싸움에 새우 등 터진다,한반도라는 지정학적 위치가 고래 싸움에 새우 등 터지는 우리 역사의 반복을 낳는 구조다.
270,고래 싸움에 새우 등 터진다,"모 어린이집 Y원장은 ""정치권 고래 싸움에 새우 등 터진 격""이라며 항의했고, 또 다른 어린이집 이모 원장은 ""멋 모르고 따라간 식사자리 한 번에 이게 말이 되는 얘기냐""고 말했다."
271,꿩 대신 닭,세계판(world-plate)인 미국과 지역판(region-plate)인 중국의 위상을 제대로 식별하지 못한 채 '꿩 대신 닭'이라고 미국과 안 맞으면 중국과 붙으면 된다고 생각한다.
272,꿩 대신 닭,'꿩 대신 닭'이 아니라 '낙지 대신 주꾸미'가 된 것이다.
273,꿩 대신 닭,"97년 모스크바에서 사업을 시작한 그는 모스크바 주위에 산이 없자, 꿩 대신 닭으로 트레킹을 하다 아예 클럽을 만들어 팀 리더가 됐다."
274,꿩 대신 닭,"하지만 '군계일학'(도대체 왜 학을 그렇게 띄워 주는 겁니까?), '꿩 대신 닭'(요즘 꿩 제대로 본 분 계세요?) 같은 말을 들으면 우리 닭들은 자존심이 상합니다."
275,꿩 대신 닭,"하지만 행정수도 건설이라는 원칙을 포기하고, 충청권 민심을 달래기 위해 '꿩 대신 닭'으로 행정기관·정부산하기관 이전을 제시하는 것이라면 절대 받아들일 수 없다."""
276,꿩 대신 닭,꿩 대신 닭이라고 조그만 행정도시를 만드는 것은 바람직하지 않다.
277,꿩 대신 닭,꿩 대신 닭이라고 조그만 행정도시를 만드는 것은 바람직하지 않다.
278,꿩 대신 닭,"[증권]""꿩 대신 닭"" 올들어 우선주 강세…보통주와 가격차 크게줄어"
279,꿩 대신 닭,여기에서 '꿩 대신 닭'이란 말이 나왔다.
280,꿩 대신 닭,꿩 대신 닭일까?
281,꿩 대신 닭,'꿩 대신 닭'이란 그래서 생겼다.
282,꿩 대신 닭,꿩 대신 닭이긴 하지만 톡톡 튀는 맛의 날치알 스파게티에 도전해 보기로 했다.
283,꿩 대신 닭,두 손 놓고 있다가 교원평가제 도입이 전교조 등의 반대로 난항을 겪자 '꿩 대신 닭' 모양새로 추진하는 것이 문제다.
284,꿩 대신 닭,그러나 차코치는 '꿩 대신 닭'이 아니라 '닭 대신 꿩'을 잡겠다는 생각이다.
285,꿩 대신 닭,그래서 나도 꿩 대신 닭이라고 소주박스를 대신 묻게 된 것이다.
286,꿩 대신 닭,"[증권]""꿩 대신 닭"" 중저가주 인기몰이"
287,꿩 대신 닭,꿩 대신 닭. 하루만에 즐기는 휴가로 해외·바다로 나간 듯한 분위기를 내보자.
288,꿩 대신 닭,'꿩 대신 닭'이라고 선진국 MBA 대신에 국내 MBA 과정에 등록한 직장인도 부지기수다.
289,꿩 대신 닭,'꿩 대신 닭?'
290,꿩 대신 닭,지갑이 얇은 가난한 홍어 애호가들에게 값싸면서 맛도 크게 뒤지지 않는 수입산 홍어는 '꿩 대신 닭' 그 이상이었다.
291,꿩 대신 닭,이런 움직임은 삼성전자가 예상보다 급등세를 보인 상황에서 '꿩 대신 닭'식의 매수 패턴을 보이는 것으로 해석 가능하다.
292,꿩 대신 닭,"○…최근 기름값이 치솟으면서 유류세를 낮추라는 목소리가 높아지자 소관 부처인 재정경제부는 당혹해하는 표정이 역력. 재경부는 여론을 의식해 '꿩 대신 닭' 격으로 수입 석유에 대한 관세를 올해 7월부터 12월까지 기존 5%에서 3%로 내리기로 했지만 유류세만큼은 절대 못 내린다고 고집. 한국의 유류세 수준이 경제협력개발기구(OECD) 회원국 중 중간 정도에 그치는 데다 기름 한 방울 나지 않는 나라에서 유류세를 낮추면 석유 소비가 급증할 것이라는 게 명분. 그러나 재경부가 유류세를 포기할 수 없는 진짜 이유는 세수(稅收) 때문이라는 분석. 실제로 재경부의 한 공무원은 ""유류세를 10% 내리면 세수가 2조 원이나 줄어든다""며 ""'비전 2030' 등 돈 쓸 일은 많은데 손쉽게 거둘 수 있는 유류세를 인하하는 것은 어렵지 않으냐""라고 하소연."
293,꿩 대신 닭,그러나 많은 이집트인들이 제시한 가말 선호 이유는 '꿩 대신 닭'이라는 논리에 가까웠다.
294,꿩 대신 닭,"꿩 대신 닭이라고, 결코 싸지 않은 이들의 공연을 비교적 싼값에(칸에서는 돈을 안 내고 봤습니다만, 극장에서 상영한다면 그렇다는 거죠) 평면 영화보다 실감나게 즐길 수 있게 해줍니다."
295,꿩 대신 닭,"[택지지구 둘러보기]송파신도시, 꿩 대신 닭? 꿩 잡는 매?"
296,꿩 대신 닭,'꿩 대신 닭'이란 속담은 이를 두고 한 말이라고 한다.
297,꿩 대신 닭,"◆ 분양가 상한제는 '꿩 대신 닭'? =이날 당정은 최근 열린우리당 부동산특위가 제안했던 공공주택 공급특별법 제정 방안, 종합부동산세를 주거복지용 목적세로 전환하는 방안 등에 대해선 합의를 이루지 못했다."
298,꿩 대신 닭,'꿩 대신 닭' 박주영 AG 뛴다
299,꿩 대신 닭,(책에선 '이거야!'라는 말로 표현했다) 꿩 대신 닭은 없다.
300,꿩 대신 닭,영국 출신 3인조 밴드 '킨(Keane)'. 이들에게 '꿩 대신 닭'을 물어보자 갸우뚱했다.
301,꿩 대신 닭,"(교육자로서, 닭으로써 꿩을 대신했다.)"
302,꿩 대신 닭,"막강한 후원자를 잡아 자신감 넘치면서도 비굴한 콜린스가 베넷가에 청혼하러 왔다가 빙리와 눈맞은 제인 대신 엘리자베스를 흥정하는 안주인에게 ""꿩 대신 닭도 좋죠""라고 말하거나 엘리자베스의 친구 샬럿이 ""(못생기고 나이 든) 내게 사랑은 과욕이야""라고 말하는 건 세련된 요즘 로맨스 드라마에 비하면 촌스럽다."
303,꿩 대신 닭,"""회장 대신 총무가 참석했다, 꿩 대신 닭을 잡다"""
304,꿩 대신 닭,꿩 대신 닭
305,꿩 대신 닭,'꿩 대신 닭'이란 속담처럼 닭고기보다 한 단계 위로 치는 꿩고기는 육질이 부드럽고 소화가 잘돼 기력 회복에 좋은 것으로 알려져 있다.
306,꿩 대신 닭,① 꿩 대신 닭.
307,꿩 대신 닭,"꿩 대신 닭. 불평 많고 게으른 아들이지만, 짐꾼으로 부리고 돈지갑으로도 써먹겠다는 심사다."
308,꿩 대신 닭,'꿩 대신 닭'으로 사용한 고려대 구장은 왕모래 때문에 태클을 엄두도 못냈다.
309,꿩 대신 닭,▽꿩 대신 닭 잡아라=최근 7일 동안 외국인들은 삼성전자에 이어 LG전자 현대자동차 국민은행 대우종합기계 현대모비스 등을 사들였다.
310,꿩 대신 닭,[CEO칼럼]박용성/꿩 대신 `젊은 닭` 키우자
311,꿩 대신 닭,'꿩 대신 닭'이 아니라 '닭 대신 꿩'이다.
312,꿩 대신 닭,북한-미국 접촉 꿩 대신 닭?
313,꿩 대신 닭,이런 현실 탓에 시.도 교육청은 꿩 대신 닭으로 '과정 선택'을 유도하고 있다.
314,꿩 대신 닭,일본과 인연을 맺은 것은 지난 98년 9월. 당시 일본 언론은 축구협회가 아센 벵거(현 잉글랜드 아스날 감독)를 초빙하려다 실패해 그를 선택했다며 '꿩 대신 닭'이라고 했지만 그는 개의치 않았다.
315,꿩 대신 닭,증시에서 '꿩 대신 닭' 을 찾는 투자자들이 많아졌다.
316,꿩 대신 닭,▽최〓꿩 대신 닭이라고 외국의 가정집에 머물면서 영어를 배우는 '홈스테이'는 어때요?
317,꿩 대신 닭,"이와 함께, SK텔레콤과 한국통신의 외국인 투자한도(한도)가 꽉 찬 데 따른 반사(반사)이익까지 톡톡히 보고 있는 상황. 최근 외국인들이 다시 통신주를 매수하면서 SK텔레콤과 한국통신의 투자한도에 걸리게 되자, '꿩 대신 닭' 식으로 한통프리텔을 매수하고 있다는 분석이다."
318,꿩 대신 닭,"[부동산]""꿩 대신 닭"" 불붙은 리노베이션 시장"
319,꿩 대신 닭,'꿩 대신 닭.'
320,꿩 대신 닭,"결국 모짜르트는 퇴짜를 맞고 말았고, 아버지의 맹렬한 반대를 무릅쓴 채 꿩 대신 닭으로 그의 동생 콘스탄체와 결혼했다."
321,꿩 대신 닭,`동창회' 인수전 꿩 대신 닭 / '다모임' 군침
322,꿩 대신 닭,꿩 대신 닭. 시드니에서 두눈으로 올림픽현장을 지켜본다면 금상첨화겠지만 국내에 있는 스포츠팬들에겐 그림의 떡. 24시간 텔레비전 중계를 지켜보는 것말고도 인터넷 사이트를 뒤져보면 다른 각종 재미있는 화제와 통계를 접할 수 있는 별미가 있다.
323,꿩 대신 닭,'꿩 대신 닭'이라 하더라도 경영상의 모든 책임은 어디까지나 최고경영자에게 있습니다.
324,꿩 대신 닭,그런데 꿩이 없어서 대신 쓴 닭이 꿩보다 더 나은 경우를 많이 보게 됩니다.
325,꿩 대신 닭,'꿩 대신 닭'이라는 우리 속담이 있습니다.
326,꿩 대신 닭,"한마디로 '신 귀공자'는 엄청 황당하나 은근히 웃긴다.전혀 부담없다.사실 이것이 내가 이 드라마를 재미있게 본 진짜 이유다.시트콤을 보는 셈치고 '신 귀공자'를 본다.시트콤 팬인 나는 요즘 시트콤이 영 시원찮아 '꿩 대신 닭'을 보고 있는 것이다.시트콤이 죽 쑤는 이유는 '참을 수 없는 제작의 허술함' 때문이다.아마추어급 연출, 신인 개그맨 데뷔무대 같은 연기, IMF 때도 못본 싸구려 세트, 시도 때도 없이 녹음돼 나오는 '하하하' 웃음을 따라 웃다 보면 갑자기 신경질이 팍 난다."
327,꿩 대신 닭,"""꿩 대신 닭이라고? 내 진짜 실력을 보여주마."""
328,꿩 대신 닭,'꿩 대신 닭'이라고 다저스는 11일 휴식 후 박찬호를 12일 오전 5시5분 샌프란시스코 자이언츠의 새 구장인 퍼시픽 벨 파크의 역사적인 오프닝 경기에 등판시킬 예정.
329,꿩 대신 닭,꿩 대신 닭이 돼도 '영어만 건지면 성공' 이라며 자위하려든다.
330,꿩 대신 닭,"투신사 관계자는 이에 대해 ""반도체값 강세로 주가상승이 기대되는 삼성전자 보통주를 사들이고 싶지만, 종목당 편입비율 10%가 이미 다 채워진 상태여서 편입비율 제한을 받지 않는 우선주를 대량 매입하고 있다""며 ""꿩 대신 닭인 셈""이라고 말했다."
331,꿩 대신 닭,황장엽씨 '꿩 대신 닭';
332,꿩 대신 닭,꿩닭을 대량 번식시킬 수만 있다면 온면의 국물을 낼 때 '꿩 대신 닭'이라고 푸념하면서 굳이 닭을 쓰지 않아도 될 것 같다.
