wisdom	def
가는 날이 장날	어떤 일을 하려고 하는데 뜻하지 않은 일을 공교롭게 당함
갈수록 태산	갈수록 더욱 어려운 지경에 처함.
꿩 대신 닭	꼭 적당한 것이 없을 때 그만은 못하지만 그와 비슷한 것으로 대신하는 경우.
등잔 밑이 어둡다	가까이에 있는 어떤 것은 흔히 눈에 잘 띄지 않는다.
소문난 잔치에 먹을 것 없다	떠들썩한 소문이나 큰 기대에 비하여 실속이 없거나 소문이 사실과 다르다.
핑계 없는 무덤 없다	무슨 일이든지 핑계를 만들어 낼 수 있다.
고래 싸움에 새우 등 터진다	힘센 것들이 싸우는 틈바구니에서 아무런 관계도 없는 약자가 공연히피해를 입게 된다.
서당개 삼 년이면 풍월을 읊는다	어떤 분야에 대해 아는 것이 아무것도 없는 사람이라도 그 분야에 오래 있으면 어느 정도 지식과 경험을 가질수 있다.
원숭이도 나무에서 떨어진다	아무리 익숙하고 잘하는 사람이라도 간혹 실수할 때가 있음.
산 넘어 산	갈수록 더욱 어려운 지경에 처하게 됨.
가는 날이 장날	 어떤 일을 마음먹고 하려는데, 뜻밖의 문제로 일이 계획대로 되지 않고 곤란을 겪음.
갈수록 태산	계속하여 어려운 일이 앞에 닥침.
꿩 대신 닭	적당한 것이 없을 때 비슷한 것을 대신하는 경우
등잔 밑이 어둡다	대상에서 가까이 있는 사람이 도리어 대상에 대하여 잘 알기 어렵다.
소문난 잔치에 먹을 것 없다	소문과 실제가 일치하지 않는다.
핑계 없는 무덤 없다	아무리 큰 잘못을 저지른 사람도 그것을 변명하고 이유를 붙일 수 있다.
고래 싸움에 새우 등 터진다	강한 자들끼리 싸우는 통에 아무 상관도 없는 약한 자가 중간에 끼어 피해를 입게 됨
서당개 삼 년이면 풍월을 읊는다	무식한 사람도 유식한 사람과 같이 오래 지내면 자연히 견문이 생긴다.
가는 날이 장날	우연히 갔다가 예상치 못한 일이 벌어졌음.
가는 날이 장날	계획해 왔던 일을 할 때 생각하지 않았던 상황이 벌어짐.
가는 날이 장날	계획해 왔던 일을 할 때 예상치 못한 일이 벌어짐.
갈수록 태산	어떤 일의 형세가 갈수록 점점 더 힘들어짐.
갈수록 태산	지금보다 더욱 어려운 상황에 빠짐.
갈수록 태산	갈수록 점점 어려운 상황에 처함.
꿩 대신 닭	처음것보다는 못하지만 대처하여 사용함.
꿩 대신 닭	자기가 쓰려는 것이 없으면 그와 비슷한 것으로 대신 쓸 수 있음
꿩 대신 닭	기가 쓰려던 것이 없으면 아쉽지만 그와 비슷한 것을 대신 쓴다
등잔 밑이 어둡다	가까이에 있는 물건이나 사람을 잘 찾지 못함을 이르는 말.
등잔 밑이 어둡다	가까운 곳에서 생긴 일을 도리어 잘 모른다.
등잔 밑이 어둡다	가까운 곳에서 생긴 일은 도리어 눈에 잘 띄지 않는다.
소문난 잔치에 먹을 것 없다	소문난 것과 같지않고 실제로는 아주 보잘것없다.
소문난 잔치에 먹을 것 없다	소문과 달리 실제는 없거나 사실과 다름.
소문난 잔치에 먹을 것 없다	소문이나 기대와 달리 실제는 보잘 것이 없다.
핑계 없는 무덤 없다	무슨 일에라도 반드시 핑계는 있다
핑계 없는 무덤 없다	무슨 일이든지 핑계를 만들어 낼 수 있다
핑계 없는 무덤 없다	무슨 일이든 변명하고 이유를 붙일 수 있다.
고래 싸움에 새우 등 터진다	남의 싸움에 관계없는 사람이 해를 입는 경우
고래 싸움에 새우 등 터진다	아랫사람이 저지른 일로 인하여 윗사람에게 해가 미치는 경우
고래 싸움에 새우 등 터진다	약하고 보잘것없는 것끼리 아무리 싸워도 크고 힘 있는 존재는 그 피해를 받지 아니함
서당개 삼 년이면 풍월을 읊는다	아무리 무지해도 오래오래 듣거나 보게 되면 자연히 잘하게 된다
서당개 삼 년이면 풍월을 읊는다	무식한 사람도 배우는 환경에 오래 있다 보면 유식해진다.
서당개 삼 년이면 풍월을 읊는다	아무것도 모르는 사람도 오래 듣거나 보게 되면 자연히 지식과 경험이 생긴다.
원숭이도 나무에서 떨어진다	아무리 익숙하여 잘하는 일이라도 때로는 실수할 때가 있다
원숭이도 나무에서 떨어진다	손에 익숙한 일도 너무 자신만만하면 잘못을 저질를 수 있다
원숭이도 나무에서 떨어진다	아무리 능숙한 사람이라도 간혹 실수할 때가 있다
원숭이도 나무에서 떨어진다	어떤 분야에 최고의 명성을 가진 기술 자라도 방심하면 생각하지 않은 실수를 하게 된다.
산 넘어 산	갈수록 점점 더 고생이 심해 간다.
산 넘어 산	갈수록 어려움이 점점 더 심해진다.
산 넘어 산	갈수록 어렵다.
산 넘어 산	고생이 갈수록 심해짐.